cp,mp,popSize,top_1,top_3,top_5,avg_exam_1,avg_exam_3,avg_exam_5
0.5,0.4,300,7,9,14,0.01,0.444,0.529
0.4,0.7,300,7,9,14,0.01,0.444,0.529
0.2,0.3,150,7,19,24,0.01,0.561,0.433
0.6,0.5,450,1,19,19,0.01,0.842,0.505
0.1,0.6,500,7,8,25,0.01,0.375,0.664
0.9,0.1,400,7,19,24,0.01,0.561,0.433
0.9,1,200,7,14,27,0.01,0.643,0.622
0.1,0.6,250,7,19,25,0.01,0.561,0.496
0.3,1,250,7,19,25,0.01,0.561,0.496
1,0.9,250,7,19,25,0.01,0.561,0.496
0.1,0.9,350,1,9,20,0.01,0.667,0.62
0.5,0.8,100,7,18,23,0.01,0.537,0.426
0.7,0.7,250,7,19,25,0.01,0.561,0.496
0.6,0.4,100,1,19,24,0.01,0.719,0.55
0.1,0.8,200,7,19,24,0.01,0.737,0.517
1,0.4,300,7,9,14,0.01,0.444,0.529
0.6,0.4,500,7,8,25,0.01,0.375,0.664
0.6,0.2,350,1,9,20,0.01,0.667,0.62
0.2,0.7,100,1,19,24,0.01,0.719,0.55
0.7,0.9,400,7,19,24,0.01,0.561,0.433
0.4,0.7,350,1,9,20,0.01,0.667,0.62
0.3,0.5,450,1,19,19,0.01,0.842,0.505
0.4,0.4,100,1,9,20,0.01,0.667,0.73
0.7,0.9,200,7,21,21,0.01,0.603,0.362
0.4,0.8,250,7,19,25,0.01,0.561,0.496
0.6,0.5,150,7,19,24,0.01,0.561,0.433
0.1,0.3,450,1,19,19,0.01,0.842,0.505
0.5,1,150,7,19,24,0.01,0.561,0.433
0.6,1,500,7,8,25,0.01,0.375,0.664
0.7,0.1,100,1,9,20,0.01,0.667,0.62
0.2,0.7,500,7,8,25,0.01,0.375,0.664
0.3,0.6,500,7,8,25,0.01,0.375,0.664
0.9,0.6,50,7,13,13,0.01,0.641,0.385
0.4,0.4,150,7,19,24,0.01,0.561,0.433
0.4,0.1,100,1,9,20,0.01,0.667,0.62
0.8,0.4,50,7,8,14,0.01,0.417,0.571
0.4,0.1,500,7,8,25,0.01,0.375,0.664
0.6,0.4,50,1,8,19,0.01,0.917,0.747
0.3,0.6,250,7,19,25,0.01,0.561,0.496
0.3,0.1,100,1,9,20,0.01,0.667,0.62
1,0.8,400,7,19,24,0.01,0.561,0.433
0.6,1,50,1,8,19,0.01,0.917,0.747
0.7,0.6,350,1,9,20,0.01,0.667,0.62
1,0.7,500,7,8,25,0.01,0.375,0.664
0.2,0.6,400,7,19,24,0.01,0.561,0.433
0.2,0.9,100,1,9,20,0.01,0.667,0.62
0.6,0.1,450,1,19,19,0.01,0.842,0.505
0.9,0.5,200,7,19,27,0.01,0.737,0.585
0.3,0.2,300,7,9,14,0.01,0.444,0.529
1,0.4,250,7,19,25,0.01,0.561,0.496
0.6,0.9,300,7,9,14,0.01,0.444,0.529
0.8,0.6,150,7,19,24,0.01,0.561,0.433
0.8,0.9,250,7,19,25,0.01,0.561,0.496
0.7,0.3,300,7,9,14,0.01,0.444,0.529
0.7,0.9,100,1,19,20,0.01,0.842,0.53
0.8,0.6,250,7,19,25,0.01,0.561,0.496
0.3,0.4,250,7,19,25,0.01,0.561,0.496
0.8,0.4,450,1,19,19,0.01,0.842,0.505
0.1,0.9,300,7,9,14,0.01,0.444,0.529
0.2,0.1,500,7,8,25,0.01,0.375,0.664
0.3,0.9,350,1,9,20,0.01,0.667,0.62
0.6,0.7,200,1,14,19,0.01,0.786,0.611
0.9,0.8,200,1,18,22,0.01,0.704,0.491
0.2,0.8,150,7,19,24,0.01,0.561,0.433
1,1,50,1,8,19,0.01,0.917,0.747
0.7,0.2,400,7,19,24,0.01,0.561,0.433
0.5,0.5,100,1,9,20,0.01,0.667,0.73
0.2,0.5,50,1,8,14,0.01,0.917,0.743
0.9,0.2,300,7,9,14,0.01,0.444,0.529
0.4,0.5,200,7,14,22,0.01,0.643,0.536
0.7,0.5,400,7,19,24,0.01,0.561,0.433
0.8,0.6,500,7,8,25,0.01,0.375,0.664
1,0.6,300,7,9,14,0.01,0.444,0.529
0.8,0.7,450,1,19,19,0.01,0.842,0.505
0.2,0.4,500,7,8,25,0.01,0.375,0.664
0.7,1,50,1,8,24,0.01,0.625,0.742
0.9,0.7,250,7,19,25,0.01,0.561,0.496
0.4,0.9,100,1,9,14,0.01,0.926,0.714
0.4,0.3,300,7,9,14,0.01,0.444,0.529
0.8,0.1,100,1,15,23,0.01,0.956,0.713
0.5,1,500,7,8,25,0.01,0.375,0.664
0.4,1,150,7,19,24,0.01,0.561,0.433
