cp,mp,popSize,top_1,top_3,top_5,avg_exam_1,avg_exam_3,avg_exam_5
0.5,0.4,300,7,9,14,0.01,0.444,0.529
0.1,0.26,500,7,8,25,0.01,0.375,0.664
0.2,0.3,150,7,19,24,0.01,0.561,0.433
0.6,0.22,100,1,9,14,0.01,0.926,0.643
1.0,0.04,400,7,19,24,0.01,0.561,0.433
0.2,0.44,350,1,9,20,0.01,0.667,0.62
0.2,0.18,500,7,8,25,0.01,0.375,0.664
0.2,0.48,200,7,14,22,0.01,0.643,0.536
0.5,0.02,100,1,9,20,0.01,0.667,0.62
0.9,0.1,400,7,19,24,0.01,0.561,0.433
0.5,0.14,200,7,19,25,0.01,0.737,0.576
0.2,0.48,450,1,19,19,0.01,0.842,0.505
1.0,0.12,450,1,19,19,0.01,0.842,0.505
1.0,0.06,450,1,19,19,0.01,0.842,0.505
0.5,0.16,100,1,9,20,0.01,0.667,0.62
0.7,0.38,350,1,9,20,0.01,0.667,0.62
1.0,0.18,450,1,19,19,0.01,0.842,0.505
0.3,0.08,500,7,8,25,0.01,0.375,0.664
0.6,0.14,250,7,19,25,0.01,0.561,0.496
0.6,0.4,100,1,19,24,0.01,0.719,0.55
0.1,0.06,350,1,9,20,0.01,0.667,0.62
0.7,0.12,250,7,19,25,0.01,0.561,0.496
0.6,0.46,150,7,19,24,0.01,0.561,0.433
0.5,0.44,150,7,19,24,0.01,0.561,0.433
0.2,0.34,200,7,14,22,0.01,0.643,0.536
0.7,0.04,350,1,9,20,0.01,0.667,0.62
0.5,0.42,300,7,9,14,0.01,0.444,0.529
0.8,0.28,200,7,19,21,0.01,0.561,0.381
0.1,0.26,150,7,19,24,0.01,0.561,0.433
0.1,0.12,500,7,8,25,0.01,0.375,0.664
0.6,0.04,450,1,19,19,0.01,0.842,0.505
1.0,0.4,300,7,9,14,0.01,0.444,0.529
0.8,0.16,450,1,19,19,0.01,0.842,0.505
0.5,0.44,450,1,19,19,0.01,0.842,0.505
0.7,0.42,300,7,9,14,0.01,0.444,0.529
0.7,0.32,250,7,19,25,0.01,0.561,0.496
0.9,0.36,400,7,19,24,0.01,0.561,0.433
1.0,0.12,250,7,19,25,0.01,0.561,0.496
0.6,0.4,500,7,8,25,0.01,0.375,0.664
0.4,0.06,300,7,9,14,0.01,0.444,0.529
0.9,0.14,450,1,19,19,0.01,0.842,0.505
0.1,0.34,200,7,14,22,0.01,0.643,0.536
0.6,0.2,350,1,9,20,0.01,0.667,0.62
0.1,0.46,300,7,9,14,0.01,0.444,0.529
0.4,0.06,350,1,9,20,0.01,0.667,0.62
